house,category,constituency,district,state,representative,role,username,password
Lok Sabha,Member of Parliament (Lok Sabha),MALKAJGIRI,MALKAJGIRI,Telangana,EATALA RAJENDER,Member of Parliament,mp_malkajgiri,MP@Malkajgiri2026!
Lok Sabha,District Authority Auditor,MANDI,MANDI,Himachal Pradesh,Kangana Ranaut,District Authority Auditor,auditor_mandi,Auditor@Mandi2026!
Lok Sabha,Member of Parliament (Lok Sabha),MANDI,MANDI,Himachal Pradesh,Kangana Ranaut,Member of Parliament,mp_mandi,MP@Mandi2026!
Lok Sabha,District Authority Auditor,MANDLA(ST),MANDLA(ST),Madhya Pradesh,Faggan Singh Kulaste,District Authority Auditor,auditor_mandla,Auditor@Mandla2026!
Lok Sabha,Member of Parliament (Lok Sabha),MANDLA(ST),MANDLA(ST),Madhya Pradesh,Faggan Singh Kulaste,Member of Parliament,mp_mandla,MP@Mandla2026!
Lok Sabha,District Authority Auditor,MANDSOUR,MANDSOUR,Madhya Pradesh,Shri Sudheer Gupta,District Authority Auditor,auditor_mandsour,Auditor@Mandsour2026!
Lok Sabha,Member of Parliament (Lok Sabha),MANDSOUR,MANDSOUR,Madhya Pradesh,Shri Sudheer Gupta,Member of Parliament,mp_mandsour,MP@Mandsour2026!
Lok Sabha,District Authority Auditor,MANDYA,MANDYA,Karnataka,H.D. KUMARASWAMY,District Authority Auditor,auditor_mandya,Auditor@Mandya2026!
Lok Sabha,Member of Parliament (Lok Sabha),MANDYA,MANDYA,Karnataka,H.D. KUMARASWAMY,Member of Parliament,mp_mandya,MP@Mandya2026!
Lok Sabha,District Authority Auditor,MATHURA,MATHURA,Uttar Pradesh,Smt Hema Malini,District Authority Auditor,auditor_mathura,Auditor@Mathura2026!
Lok Sabha,Member of Parliament (Lok Sabha),MATHURA,MATHURA,Uttar Pradesh,Smt Hema Malini,Member of Parliament,mp_mathura,MP@Mathura2026!
Lok Sabha,District Authority Auditor,MATHURAPUR(SC),MATHURAPUR(SC),West Bengal,BAPI HALDAR,District Authority Auditor,auditor_mathurapur,Auditor@Mathurapur2026!
Lok Sabha,Member of Parliament (Lok Sabha),MATHURAPUR(SC),MATHURAPUR(SC),West Bengal,BAPI HALDAR,Member of Parliament,mp_mathurapur,MP@Mathurapur2026!
Lok Sabha,District Authority Auditor,MAVAL,MAVAL,Maharashtra,Shrirang Appa Barne,District Authority Auditor,auditor_maval,Auditor@Maval2026!
Lok Sabha,Member of Parliament (Lok Sabha),MAVAL,MAVAL,Maharashtra,Shrirang Appa Barne,Member of Parliament,mp_maval,MP@Maval2026!
Lok Sabha,District Authority Auditor,MAVELIKKARA(SC),MAVELIKKARA(SC),Kerala,Shri Suresh Kodikunnil,District Authority Auditor,auditor_mavelikkara,Auditor@Mavelikkara2026!
Lok Sabha,Member of Parliament (Lok Sabha),MAVELIKKARA(SC),MAVELIKKARA(SC),Kerala,Shri Suresh Kodikunnil,Member of Parliament,mp_mavelikkara,MP@Mavelikkara2026!
Lok Sabha,District Authority Auditor,MAYILADUTHURAI,MAYILADUTHURAI,Tamil Nadu,SUDHA R,District Authority Auditor,auditor_mayiladuthurai,Auditor@Mayiladuthur2026!
Lok Sabha,Member of Parliament (Lok Sabha),MAYILADUTHURAI,MAYILADUTHURAI,Tamil Nadu,SUDHA R,Member of Parliament,mp_mayiladuthurai,MP@Mayiladuthur2026!
Lok Sabha,District Authority Auditor,MAYURBHANJ (ST),MAYURBHANJ (ST),Odisha,NABA CHARAN MAJHI,District Authority Auditor,auditor_mayurbhanj,Auditor@Mayurbhanj2026!
Lok Sabha,Member of Parliament (Lok Sabha),MAYURBHANJ (ST),MAYURBHANJ (ST),Odisha,NABA CHARAN MAJHI,Member of Parliament,mp_mayurbhanj,MP@Mayurbhanj2026!
Lok Sabha,District Authority Auditor,MEDAK,MEDAK,Telangana,MADHAVANENI RAGHUNANDAN RAO,District Authority Auditor,auditor_medak,Auditor@Medak2026!
Lok Sabha,Member of Parliament (Lok Sabha),MEDAK,MEDAK,Telangana,MADHAVANENI RAGHUNANDAN RAO,Member of Parliament,mp_medak,MP@Medak2026!
Lok Sabha,District Authority Auditor,MEDINIPUR,MEDINIPUR,West Bengal,JUNE MALIAH,District Authority Auditor,auditor_medinipur,Auditor@Medinipur2026!
Lok Sabha,Member of Parliament (Lok Sabha),MEDINIPUR,MEDINIPUR,West Bengal,JUNE MALIAH,Member of Parliament,mp_medinipur,MP@Medinipur2026!
Lok Sabha,District Authority Auditor,MEERUT,MEERUT,Uttar Pradesh,ARUN GOVIL,District Authority Auditor,auditor_meerut,Auditor@Meerut2026!
Lok Sabha,Member of Parliament (Lok Sabha),MEERUT,MEERUT,Uttar Pradesh,ARUN GOVIL,Member of Parliament,mp_meerut,MP@Meerut2026!
Lok Sabha,District Authority Auditor,MIRZAPUR,MIRZAPUR,Uttar Pradesh,Smt Anupriya Patel,District Authority Auditor,auditor_mirzapur,Auditor@Mirzapur2026!
Lok Sabha,Member of Parliament (Lok Sabha),MIRZAPUR,MIRZAPUR,Uttar Pradesh,Smt Anupriya Patel,Member of Parliament,mp_mirzapur,MP@Mirzapur2026!
Lok Sabha,District Authority Auditor,MISRIKH(SC),MISRIKH(SC),Uttar Pradesh,Ashok Kumar Rawat,District Authority Auditor,auditor_misrikh,Auditor@Misrikh2026!
Lok Sabha,Member of Parliament (Lok Sabha),MISRIKH(SC),MISRIKH(SC),Uttar Pradesh,Ashok Kumar Rawat,Member of Parliament,mp_misrikh,MP@Misrikh2026!
Lok Sabha,District Authority Auditor,MIZORAM (ST),MIZORAM (ST),Mizoram,RICHARD VANLALHMANGAIHA,District Authority Auditor,auditor_mizoram,Auditor@Mizoram2026!
Lok Sabha,Member of Parliament (Lok Sabha),MIZORAM (ST),MIZORAM (ST),Mizoram,RICHARD VANLALHMANGAIHA,Member of Parliament,mp_mizoram,MP@Mizoram2026!
Lok Sabha,District Authority Auditor,MOHANLALGANJ(SC),MOHANLALGANJ(SC),Uttar Pradesh,R.K. CHAUDHARY,District Authority Auditor,auditor_mohanlalganj,Auditor@Mohanlalganj2026!
Lok Sabha,Member of Parliament (Lok Sabha),MOHANLALGANJ(SC),MOHANLALGANJ(SC),Uttar Pradesh,R.K. CHAUDHARY,Member of Parliament,mp_mohanlalganj,MP@Mohanlalganj2026!
Lok Sabha,District Authority Auditor,MORADABAD,MORADABAD,Uttar Pradesh,RUCHI VIRA,District Authority Auditor,auditor_moradabad,Auditor@Moradabad2026!
Lok Sabha,Member of Parliament (Lok Sabha),MORADABAD,MORADABAD,Uttar Pradesh,RUCHI VIRA,Member of Parliament,mp_moradabad,MP@Moradabad2026!
Lok Sabha,District Authority Auditor,MORENA,MORENA,Madhya Pradesh,SHIVMANGAL SINGH TOMAR,District Authority Auditor,auditor_morena,Auditor@Morena2026!
Lok Sabha,Member of Parliament (Lok Sabha),MORENA,MORENA,Madhya Pradesh,SHIVMANGAL SINGH TOMAR,Member of Parliament,mp_morena,MP@Morena2026!
Lok Sabha,District Authority Auditor,MUMBAI NORTH,MUMBAI NORTH,Maharashtra,Piyush Vedprakash Goyal,District Authority Auditor,auditor_mumbai_north,Auditor@MumbaiNorth2026!
Lok Sabha,Member of Parliament (Lok Sabha),MUMBAI NORTH,MUMBAI NORTH,Maharashtra,Piyush Vedprakash Goyal,Member of Parliament,mp_mumbai_north,MP@MumbaiNorth2026!
Lok Sabha,District Authority Auditor,MUMBAI NORTH EAST,MUMBAI NORTH EAST,Maharashtra,SANJAY DINA PATIL,District Authority Auditor,auditor_mumbai_north_east,Auditor@MumbaiNorthE2026!
Lok Sabha,Member of Parliament (Lok Sabha),MUMBAI NORTH EAST,MUMBAI NORTH EAST,Maharashtra,SANJAY DINA PATIL,Member of Parliament,mp_mumbai_north_east,MP@MumbaiNorthE2026!
Lok Sabha,District Authority Auditor,MUMBAI NORTH WEST,MUMBAI NORTH WEST,Maharashtra,RAVINDRA DATTARAM WAIKAR,District Authority Auditor,auditor_mumbai_north_west,Auditor@MumbaiNorthW2026!
Lok Sabha,Member of Parliament (Lok Sabha),MUMBAI NORTH WEST,MUMBAI NORTH WEST,Maharashtra,RAVINDRA DATTARAM WAIKAR,Member of Parliament,mp_mumbai_north_west,MP@MumbaiNorthW2026!
Lok Sabha,District Authority Auditor,MUMBAI NORTH-CENTRAL,MUMBAI NORTH-CENTRAL,Maharashtra,GAIKWAD VARSHA EKNATH,District Authority Auditor,auditor_mumbai_north_central,Auditor@MumbaiNorthC2026!
Lok Sabha,Member of Parliament (Lok Sabha),MUMBAI NORTH-CENTRAL,MUMBAI NORTH-CENTRAL,Maharashtra,GAIKWAD VARSHA EKNATH,Member of Parliament,mp_mumbai_north_central,MP@MumbaiNorthC2026!
Lok Sabha,District Authority Auditor,MUMBAI SOUTH,MUMBAI SOUTH,Maharashtra,Arvind Ganpat Sawant,District Authority Auditor,auditor_mumbai_south,Auditor@MumbaiSouth2026!
Lok Sabha,Member of Parliament (Lok Sabha),MUMBAI SOUTH,MUMBAI SOUTH,Maharashtra,Arvind Ganpat Sawant,Member of Parliament,mp_mumbai_south,MP@MumbaiSouth2026!
Lok Sabha,District Authority Auditor,MUMBAI SOUTH CENTRAL,MUMBAI SOUTH CENTRAL,Maharashtra,ANIL YESHWANT DESAI,District Authority Auditor,auditor_mumbai_south_central,Auditor@MumbaiSouthC2026!
Lok Sabha,Member of Parliament (Lok Sabha),MUMBAI SOUTH CENTRAL,MUMBAI SOUTH CENTRAL,Maharashtra,ANIL YESHWANT DESAI,Member of Parliament,mp_mumbai_south_central,MP@MumbaiSouthC2026!
Lok Sabha,District Authority Auditor,MUNGER,MUNGER,Bihar,Rajiv Ranjan (Lalan) Singh,District Authority Auditor,auditor_munger,Auditor@Munger2026!
Lok Sabha,Member of Parliament (Lok Sabha),MUNGER,MUNGER,Bihar,Rajiv Ranjan (Lalan) Singh,Member of Parliament,mp_munger,MP@Munger2026!
Lok Sabha,District Authority Auditor,MURSHIDABAD,MURSHIDABAD,West Bengal,Abu Taher Khan,District Authority Auditor,auditor_murshidabad,Auditor@Murshidabad2026!
Lok Sabha,Member of Parliament (Lok Sabha),MURSHIDABAD,MURSHIDABAD,West Bengal,Abu Taher Khan,Member of Parliament,mp_murshidabad,MP@Murshidabad2026!
Lok Sabha,District Authority Auditor,MUZAFFARNAGAR,MUZAFFARNAGAR,Uttar Pradesh,HARENDRA SINGH MALIK,District Authority Auditor,auditor_muzaffarnagar,Auditor@Muzaffarnaga2026!
Lok Sabha,Member of Parliament (Lok Sabha),MUZAFFARNAGAR,MUZAFFARNAGAR,Uttar Pradesh,HARENDRA SINGH MALIK,Member of Parliament,mp_muzaffarnagar,MP@Muzaffarnaga2026!
Lok Sabha,District Authority Auditor,MUZAFFARPUR,MUZAFFARPUR,Bihar,RAJ BHUSHAN CHOUDHARY,District Authority Auditor,auditor_muzaffarpur,Auditor@Muzaffarpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),MUZAFFARPUR,MUZAFFARPUR,Bihar,RAJ BHUSHAN CHOUDHARY,Member of Parliament,mp_muzaffarpur,MP@Muzaffarpur2026!
Lok Sabha,District Authority Auditor,MYSORE,MYSORE,Karnataka,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,District Authority Auditor,auditor_mysore,Auditor@Mysore2026!
Lok Sabha,Member of Parliament (Lok Sabha),MYSORE,MYSORE,Karnataka,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Member of Parliament,mp_mysore,MP@Mysore2026!
Lok Sabha,District Authority Auditor,NABARANGPUR(ST),NABARANGPUR(ST),Odisha,BALABHADRA MAJHI,District Authority Auditor,auditor_nabarangpur,Auditor@Nabarangpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),NABARANGPUR(ST),NABARANGPUR(ST),Odisha,BALABHADRA MAJHI,Member of Parliament,mp_nabarangpur,MP@Nabarangpur2026!
Lok Sabha,District Authority Auditor,NAGALAND,NAGALAND,Nagaland,S SUPONGMEREN JAMIR,District Authority Auditor,auditor_nagaland,Auditor@Nagaland2026!
Lok Sabha,Member of Parliament (Lok Sabha),NAGALAND,NAGALAND,Nagaland,S SUPONGMEREN JAMIR,Member of Parliament,mp_nagaland,MP@Nagaland2026!
Lok Sabha,District Authority Auditor,NAGAPATTINAM(SC),NAGAPATTINAM(SC),Tamil Nadu,SELVARAJ V,District Authority Auditor,auditor_nagapattinam,Auditor@Nagapattinam2026!
Lok Sabha,Member of Parliament (Lok Sabha),NAGAPATTINAM(SC),NAGAPATTINAM(SC),Tamil Nadu,SELVARAJ V,Member of Parliament,mp_nagapattinam,MP@Nagapattinam2026!
Lok Sabha,District Authority Auditor,NAGARKURNOOL(SC),NAGARKURNOOL(SC),Telangana,DR.MALLU RAVI,District Authority Auditor,auditor_nagarkurnool,Auditor@Nagarkurnool2026!
Lok Sabha,Member of Parliament (Lok Sabha),NAGARKURNOOL(SC),NAGARKURNOOL(SC),Telangana,DR.MALLU RAVI,Member of Parliament,mp_nagarkurnool,MP@Nagarkurnool2026!
Lok Sabha,District Authority Auditor,NAGAUR,NAGAUR,Rajasthan,Shri Hanuman Beniwal,District Authority Auditor,auditor_nagaur,Auditor@Nagaur2026!
Lok Sabha,Member of Parliament (Lok Sabha),NAGAUR,NAGAUR,Rajasthan,Shri Hanuman Beniwal,Member of Parliament,mp_nagaur,MP@Nagaur2026!
Lok Sabha,District Authority Auditor,NAGINA(SC),NAGINA(SC),Uttar Pradesh,CHANDRA SHEKHAR,District Authority Auditor,auditor_nagina,Auditor@Nagina2026!
Lok Sabha,Member of Parliament (Lok Sabha),NAGINA(SC),NAGINA(SC),Uttar Pradesh,CHANDRA SHEKHAR,Member of Parliament,mp_nagina,MP@Nagina2026!
Lok Sabha,District Authority Auditor,NAGPUR,NAGPUR,Maharashtra,Nitin Jairam Gadkari,District Authority Auditor,auditor_nagpur,Auditor@Nagpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),NAGPUR,NAGPUR,Maharashtra,Nitin Jairam Gadkari,Member of Parliament,mp_nagpur,MP@Nagpur2026!
Lok Sabha,District Authority Auditor,NAINITAL UDHAM SINGH NAG.,NAINITAL UDHAM SINGH NAG.,Uttarakhand,Ajay Bhatt,District Authority Auditor,auditor_nainital_udham_singh_nag,Auditor@NainitalUdha2026!
Lok Sabha,Member of Parliament (Lok Sabha),NAINITAL UDHAM SINGH NAG.,NAINITAL UDHAM SINGH NAG.,Uttarakhand,Ajay Bhatt,Member of Parliament,mp_nainital_udham_singh_nag,MP@NainitalUdha2026!
Lok Sabha,District Authority Auditor,NALANDA,NALANDA,Bihar,Kaushalendra Kumar,District Authority Auditor,auditor_nalanda,Auditor@Nalanda2026!
Lok Sabha,Member of Parliament (Lok Sabha),NALANDA,NALANDA,Bihar,Kaushalendra Kumar,Member of Parliament,mp_nalanda,MP@Nalanda2026!
Lok Sabha,District Authority Auditor,NALGONDA,NALGONDA,Telangana,KUNDURU RAGHUVEER,District Authority Auditor,auditor_nalgonda,Auditor@Nalgonda2026!
Lok Sabha,Member of Parliament (Lok Sabha),NALGONDA,NALGONDA,Telangana,KUNDURU RAGHUVEER,Member of Parliament,mp_nalgonda,MP@Nalgonda2026!
Lok Sabha,District Authority Auditor,NAMAKKAL,NAMAKKAL,Tamil Nadu,V S Matheswaran,District Authority Auditor,auditor_namakkal,Auditor@Namakkal2026!
Lok Sabha,Member of Parliament (Lok Sabha),NAMAKKAL,NAMAKKAL,Tamil Nadu,V S Matheswaran,Member of Parliament,mp_namakkal,MP@Namakkal2026!
Lok Sabha,District Authority Auditor,NANDED,NANDED,Maharashtra,CHAVAN VASANTRAO BALWANTRAO,District Authority Auditor,auditor_nanded,Auditor@Nanded2026!
Lok Sabha,Member of Parliament (Lok Sabha),NANDED,NANDED,Maharashtra,CHAVAN VASANTRAO BALWANTRAO,Member of Parliament,mp_nanded,MP@Nanded2026!
Lok Sabha,District Authority Auditor,NANDURBAR(ST),NANDURBAR(ST),Maharashtra,ADV GOWAAL KAGADA PADAVI,District Authority Auditor,auditor_nandurbar,Auditor@Nandurbar2026!
Lok Sabha,Member of Parliament (Lok Sabha),NANDURBAR(ST),NANDURBAR(ST),Maharashtra,ADV GOWAAL KAGADA PADAVI,Member of Parliament,mp_nandurbar,MP@Nandurbar2026!
Lok Sabha,District Authority Auditor,NANDYAL,NANDYAL,Andhra Pradesh,DR BYREDDY SHABARI,District Authority Auditor,auditor_nandyal,Auditor@Nandyal2026!
Lok Sabha,Member of Parliament (Lok Sabha),NANDYAL,NANDYAL,Andhra Pradesh,DR BYREDDY SHABARI,Member of Parliament,mp_nandyal,MP@Nandyal2026!
Lok Sabha,District Authority Auditor,NARASAPURAM,NARASAPURAM,Andhra Pradesh,Bhupathiraju Srinivasa varma,District Authority Auditor,auditor_narasapuram,Auditor@Narasapuram2026!
Lok Sabha,Member of Parliament (Lok Sabha),NARASAPURAM,NARASAPURAM,Andhra Pradesh,Bhupathiraju Srinivasa varma,Member of Parliament,mp_narasapuram,MP@Narasapuram2026!
Lok Sabha,District Authority Auditor,NARASARAOPET,NARASARAOPET,Andhra Pradesh,Lavu Sri Krishna Devarayalu,District Authority Auditor,auditor_narasaraopet,Auditor@Narasaraopet2026!
Lok Sabha,Member of Parliament (Lok Sabha),NARASARAOPET,NARASARAOPET,Andhra Pradesh,Lavu Sri Krishna Devarayalu,Member of Parliament,mp_narasaraopet,MP@Narasaraopet2026!
Lok Sabha,District Authority Auditor,NASHIK,NASHIK,Maharashtra,RAJABHAU,District Authority Auditor,auditor_nashik,Auditor@Nashik2026!
Lok Sabha,Member of Parliament (Lok Sabha),NASHIK,NASHIK,Maharashtra,RAJABHAU,Member of Parliament,mp_nashik,MP@Nashik2026!
Lok Sabha,District Authority Auditor,NAVSARI,NAVSARI,Gujarat,C R Patil,District Authority Auditor,auditor_navsari,Auditor@Navsari2026!
Lok Sabha,Member of Parliament (Lok Sabha),NAVSARI,NAVSARI,Gujarat,C R Patil,Member of Parliament,mp_navsari,MP@Navsari2026!
Lok Sabha,District Authority Auditor,NAWADA,NAWADA,Bihar,VIVEK THAKUR,District Authority Auditor,auditor_nawada,Auditor@Nawada2026!
Lok Sabha,Member of Parliament (Lok Sabha),NAWADA,NAWADA,Bihar,VIVEK THAKUR,Member of Parliament,mp_nawada,MP@Nawada2026!
Lok Sabha,District Authority Auditor,NELLORE(SC),NELLORE(SC),Andhra Pradesh,PRABHAKAR REDDY VEMIREDDY,District Authority Auditor,auditor_nellore,Auditor@Nellore2026!
Lok Sabha,Member of Parliament (Lok Sabha),NELLORE(SC),NELLORE(SC),Andhra Pradesh,PRABHAKAR REDDY VEMIREDDY,Member of Parliament,mp_nellore,MP@Nellore2026!
Lok Sabha,District Authority Auditor,NEW DELHI,NEW DELHI,Delhi,Bansuri Swaraj,District Authority Auditor,auditor_new_delhi,Auditor@NewDelhi2026!
Lok Sabha,Member of Parliament (Lok Sabha),NEW DELHI,NEW DELHI,Delhi,Bansuri Swaraj,Member of Parliament,mp_new_delhi,MP@NewDelhi2026!
Lok Sabha,District Authority Auditor,NILGIRIS(SC),NILGIRIS(SC),Tamil Nadu,Andimuthu Raja,District Authority Auditor,auditor_nilgiris,Auditor@Nilgiris2026!
Lok Sabha,Member of Parliament (Lok Sabha),NILGIRIS(SC),NILGIRIS(SC),Tamil Nadu,Andimuthu Raja,Member of Parliament,mp_nilgiris,MP@Nilgiris2026!
Lok Sabha,District Authority Auditor,NIZAMABAD,NIZAMABAD,Telangana,Arvind Dharmapuri,District Authority Auditor,auditor_nizamabad,Auditor@Nizamabad2026!
Lok Sabha,Member of Parliament (Lok Sabha),NIZAMABAD,NIZAMABAD,Telangana,Arvind Dharmapuri,Member of Parliament,mp_nizamabad,MP@Nizamabad2026!
Lok Sabha,District Authority Auditor,NORTH EAST DELHI,NORTH EAST DELHI,Delhi,Manoj Tiwari,District Authority Auditor,auditor_north_east_delhi,Auditor@NorthEastDel2026!
Lok Sabha,Member of Parliament (Lok Sabha),NORTH EAST DELHI,NORTH EAST DELHI,Delhi,Manoj Tiwari,Member of Parliament,mp_north_east_delhi,MP@NorthEastDel2026!
Lok Sabha,District Authority Auditor,NORTH GOA,NORTH GOA,Goa,Shripad Yesso Naik,District Authority Auditor,auditor_north_goa,Auditor@NorthGoa2026!
Lok Sabha,Member of Parliament (Lok Sabha),NORTH GOA,NORTH GOA,Goa,Shripad Yesso Naik,Member of Parliament,mp_north_goa,MP@NorthGoa2026!
Lok Sabha,District Authority Auditor,NORTH WEST DELHI(SC),NORTH WEST DELHI(SC),Delhi,Yogendra Chandoliya,District Authority Auditor,auditor_north_west_delhi,Auditor@NorthWestDel2026!
Lok Sabha,Member of Parliament (Lok Sabha),NORTH WEST DELHI(SC),NORTH WEST DELHI(SC),Delhi,Yogendra Chandoliya,Member of Parliament,mp_north_west_delhi,MP@NorthWestDel2026!
Lok Sabha,District Authority Auditor,NOWGONG,NOWGONG,Assam,Pradyut Bordoloi,District Authority Auditor,auditor_nowgong,Auditor@Nowgong2026!
Lok Sabha,Member of Parliament (Lok Sabha),NOWGONG,NOWGONG,Assam,Pradyut Bordoloi,Member of Parliament,mp_nowgong,MP@Nowgong2026!
Lok Sabha,District Authority Auditor,ONGOLE,ONGOLE,Andhra Pradesh,Magunta Sreenivasulu Reddy,District Authority Auditor,auditor_ongole,Auditor@Ongole2026!
Lok Sabha,Member of Parliament (Lok Sabha),ONGOLE,ONGOLE,Andhra Pradesh,Magunta Sreenivasulu Reddy,Member of Parliament,mp_ongole,MP@Ongole2026!
Lok Sabha,District Authority Auditor,OSMANABAD,OSMANABAD,Maharashtra,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,District Authority Auditor,auditor_osmanabad,Auditor@Osmanabad2026!
Lok Sabha,Member of Parliament (Lok Sabha),OSMANABAD,OSMANABAD,Maharashtra,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Member of Parliament,mp_osmanabad,MP@Osmanabad2026!
Lok Sabha,District Authority Auditor,OUTER MANIPUR(ST),OUTER MANIPUR(ST),Manipur,ALFRED KANNGAM S ARTHUR,District Authority Auditor,auditor_outer_manipur,Auditor@OuterManipur2026!
Lok Sabha,Member of Parliament (Lok Sabha),OUTER MANIPUR(ST),OUTER MANIPUR(ST),Manipur,ALFRED KANNGAM S ARTHUR,Member of Parliament,mp_outer_manipur,MP@OuterManipur2026!
Lok Sabha,District Authority Auditor,PALAKKAD,PALAKKAD,Kerala,Vellalath Kochukrishnan Nair Sreekandan,District Authority Auditor,auditor_palakkad,Auditor@Palakkad2026!
Lok Sabha,Member of Parliament (Lok Sabha),PALAKKAD,PALAKKAD,Kerala,Vellalath Kochukrishnan Nair Sreekandan,Member of Parliament,mp_palakkad,MP@Palakkad2026!
Lok Sabha,District Authority Auditor,PALAMU(SC),PALAMU(SC),Jharkhand,Vishnu Dayal Ram,District Authority Auditor,auditor_palamu,Auditor@Palamu2026!
Lok Sabha,Member of Parliament (Lok Sabha),PALAMU(SC),PALAMU(SC),Jharkhand,Vishnu Dayal Ram,Member of Parliament,mp_palamu,MP@Palamu2026!
Lok Sabha,District Authority Auditor,PALGHAR(ST),PALGHAR(ST),Maharashtra,DR. HEMANT VISHNU SAVARA,District Authority Auditor,auditor_palghar,Auditor@Palghar2026!
Lok Sabha,Member of Parliament (Lok Sabha),PALGHAR(ST),PALGHAR(ST),Maharashtra,DR. HEMANT VISHNU SAVARA,Member of Parliament,mp_palghar,MP@Palghar2026!
Lok Sabha,District Authority Auditor,PALI,PALI,Rajasthan,Shri PP Chaudhary,District Authority Auditor,auditor_pali,Auditor@Pali2026!
Lok Sabha,Member of Parliament (Lok Sabha),PALI,PALI,Rajasthan,Shri PP Chaudhary,Member of Parliament,mp_pali,MP@Pali2026!
Lok Sabha,District Authority Auditor,PANCHMAHAL,PANCHMAHAL,Gujarat,RAJPALSINH MAHENDRASINH JADAV,District Authority Auditor,auditor_panchmahal,Auditor@Panchmahal2026!
Lok Sabha,Member of Parliament (Lok Sabha),PANCHMAHAL,PANCHMAHAL,Gujarat,RAJPALSINH MAHENDRASINH JADAV,Member of Parliament,mp_panchmahal,MP@Panchmahal2026!
Lok Sabha,District Authority Auditor,PARBHANI,PARBHANI,Maharashtra,Sanjay Haribhau Jadhav,District Authority Auditor,auditor_parbhani,Auditor@Parbhani2026!
Lok Sabha,Member of Parliament (Lok Sabha),PARBHANI,PARBHANI,Maharashtra,Sanjay Haribhau Jadhav,Member of Parliament,mp_parbhani,MP@Parbhani2026!
Lok Sabha,District Authority Auditor,PASCHIM CHAMPARAN,PASCHIM CHAMPARAN,Bihar,Sanjay Jaiswal,District Authority Auditor,auditor_paschim_champaran,Auditor@PaschimChamp2026!
Lok Sabha,Member of Parliament (Lok Sabha),PASCHIM CHAMPARAN,PASCHIM CHAMPARAN,Bihar,Sanjay Jaiswal,Member of Parliament,mp_paschim_champaran,MP@PaschimChamp2026!
Lok Sabha,District Authority Auditor,PATALIPUTRA,PATALIPUTRA,Bihar,MISHA BHARTI,District Authority Auditor,auditor_pataliputra,Auditor@Pataliputra2026!
Lok Sabha,Member of Parliament (Lok Sabha),PATALIPUTRA,PATALIPUTRA,Bihar,MISHA BHARTI,Member of Parliament,mp_pataliputra,MP@Pataliputra2026!
Lok Sabha,District Authority Auditor,PATAN,PATAN,Gujarat,Bharatsinhji Shankarji Dabhi,District Authority Auditor,auditor_patan,Auditor@Patan2026!
Lok Sabha,Member of Parliament (Lok Sabha),PATAN,PATAN,Gujarat,Bharatsinhji Shankarji Dabhi,Member of Parliament,mp_patan,MP@Patan2026!
Lok Sabha,District Authority Auditor,PATHANAMTHITTA,PATHANAMTHITTA,Kerala,Anto Antony,District Authority Auditor,auditor_pathanamthitta,Auditor@Pathanamthit2026!
Lok Sabha,Member of Parliament (Lok Sabha),PATHANAMTHITTA,PATHANAMTHITTA,Kerala,Anto Antony,Member of Parliament,mp_pathanamthitta,MP@Pathanamthit2026!
Lok Sabha,District Authority Auditor,PATIALA,PATIALA,Punjab,DR DHARAMVIRA GANDHI,District Authority Auditor,auditor_patiala,Auditor@Patiala2026!
Lok Sabha,Member of Parliament (Lok Sabha),PATIALA,PATIALA,Punjab,DR DHARAMVIRA GANDHI,Member of Parliament,mp_patiala,MP@Patiala2026!
Lok Sabha,District Authority Auditor,PATNA SAHIB,PATNA SAHIB,Bihar,Ravi Shankar Prasad,District Authority Auditor,auditor_patna_sahib,Auditor@PatnaSahib2026!
Lok Sabha,Member of Parliament (Lok Sabha),PATNA SAHIB,PATNA SAHIB,Bihar,Ravi Shankar Prasad,Member of Parliament,mp_patna_sahib,MP@PatnaSahib2026!
Lok Sabha,District Authority Auditor,PEDDAPALLE,PEDDAPALLE,Telangana,VAMSI KRISHNA GADDAM,District Authority Auditor,auditor_peddapalle,Auditor@Peddapalle2026!
Lok Sabha,Member of Parliament (Lok Sabha),PEDDAPALLE,PEDDAPALLE,Telangana,VAMSI KRISHNA GADDAM,Member of Parliament,mp_peddapalle,MP@Peddapalle2026!
Lok Sabha,District Authority Auditor,PERAMBALUR,PERAMBALUR,Tamil Nadu,ARUN NEHRU,District Authority Auditor,auditor_perambalur,Auditor@Perambalur2026!
Lok Sabha,Member of Parliament (Lok Sabha),PERAMBALUR,PERAMBALUR,Tamil Nadu,ARUN NEHRU,Member of Parliament,mp_perambalur,MP@Perambalur2026!
Lok Sabha,District Authority Auditor,PHULPUR,PHULPUR,Uttar Pradesh,PRAVEEN PATEL,District Authority Auditor,auditor_phulpur,Auditor@Phulpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),PHULPUR,PHULPUR,Uttar Pradesh,PRAVEEN PATEL,Member of Parliament,mp_phulpur,MP@Phulpur2026!
